id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
182269.0;2019-01-01;terça-feira;10:00:00;101.0;121,3;SOORETAMA;Condutor Dormindo;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;1;1;0;1;2;-19,15490874;-40,08092881
182296.0;2019-01-01;terça-feira;13:40:00;262.0;95;DOMINGOS MARTINS;Não guardar distância de segurança;Engavetamento;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;4;0;0;0;4;0;0;4;-20,3677;-41,0595
182319.0;2019-01-01;terça-feira;16:00:00;101.0;77,1;SAO MATEUS;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Desvio Temporário;Não;3;0;1;1;1;0;2;2;-18,720545;-39,865883
182350.0;2019-01-01;terça-feira;18:30:00;101.0;299,2;VIANA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Sem Vítimas;Anoitecer;Decrescente;Céu Claro;Dupla;Não Informado;Sim;3;0;0;0;3;0;0;2;-20,35788487;-40,42651176
182351.0;2019-01-01;terça-feira;18:10:00;262.0;168;IBATIBA;Falta de Atenção à Condução;Queda de ocupante de veículo;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;1;0;0;1;1;-20,265;-41,5732
182430.0;2019-01-01;terça-feira;22:30:00;101.0;329;GUARAPARI;Ingestão de Álcool;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4;0;3;0;0;1;3;2;-20,5869262;-40,4977124
182485.0;2019-01-02;quarta-feira;10:30:00;101.0;300;CARIACICA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;0;1;2;0;1;2;-20,35930984;-40,43293119
182502.0;2019-01-02;quarta-feira;11:50:00;101.0;260,9;SERRA;Falta de Atenção à Condução;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;5;0;1;0;4;0;1;4;-20,16173889;-40,2753713
182506.0;2019-01-02;quarta-feira;11:05:00;101.0;270,5;SERRA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Interseção de vias;Sim;2;0;1;0;1;0;1;2;-20,23007439;-40,27263972
182514.0;2019-01-02;quarta-feira;11:15:00;101.0;41;CONCEICAO DA BARRA;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;2;0;0;0;2;1;-18,508413;-39,915905
182543.0;2019-01-02;quarta-feira;15:35:00;101.0;254,3;SERRA;Não guardar distância de segurança;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Não Informado;Sim;2;0;0;0;2;0;0;2;-20,1128125;-40,3237617
182560.0;2019-01-02;quarta-feira;16:20:00;101.0;331,5;GUARAPARI;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-20,60632024;-40,50672239
182571.0;2019-01-02;quarta-feira;17:40:00;101.0;146,7;LINHARES;Não guardar distância de segurança;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-19,37721255;-40,06620711
182604.0;2019-01-02;quarta-feira;21:00:00;101.0;149,9;LINHARES;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Curva;Sim;2;0;0;1;0;1;1;1;-19,40414715;-40,0607121
182644.0;2019-01-03;quinta-feira;07:10:00;101.0;64,6;SAO MATEUS;Mal Súbito;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;1;0;0;1;1;-18,704285;-39,870659
182652.0;2019-01-03;quinta-feira;08:00:00;101.0;270,6;SERRA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;1;0;1;0;0;0;1;1;-20,23140757;-40,27373739
182675.0;2019-01-03;quinta-feira;11:00:00;101.0;144;LINHARES;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Interseção de vias;Não;3;0;2;0;1;0;2;2;-19,34949586;-40,06345424
182676.0;2019-01-03;quinta-feira;10:30:00;101.0;260;SERRA;Ingestão de Álcool;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;Sim;5;0;1;0;4;0;1;3;-20,1544401;-40,27765453
183309.0;2019-01-04;sexta-feira;06:45:00;101.0;299,9;VIANA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Curva;Sim;3;0;2;0;1;0;2;2;-20,35783552;-40,43102156
183310.0;2019-01-04;sexta-feira;07:50:00;101.0;271,5;SERRA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;4;0;1;0;3;0;1;4;-20,22604731;-40,28620809
183436.0;2019-01-04;sexta-feira;19:00:00;101.0;263,8;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Interseção de vias;Sim;3;0;2;0;1;0;2;2;-20,17324364;-40,26726549
