id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
260133.0;2020-01-01;quarta-feira;12:30:00;101.0;102.3;SOORETAMA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Não Informado;Não;2;0;0;1;1;0;1;2;-18.99655669;-40.00319452
260206.0;2020-01-01;quarta-feira;17:30:00;101.0;431;ATILIO VIVACQUA;Defeito Mecânico no Veículo;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Sol;Simples;Curva;Não;1;0;0;0;1;0;0;1;-21.02634744;-41.16929054
260244.0;2020-01-01;quarta-feira;21:40:00;447.0;12;VILA VELHA;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;2;0;0;0;2;1;-20.35784325;-40.3328294
260336.0;2020-01-01;quarta-feira;17:30:00;101.0;120;SOORETAMA;Falta de Atenção à Condução;Saída de leito carroçável;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;1;0;0;0;0;1;0;1;-19.1438532;-40.0751016
260276.0;2020-01-02;quinta-feira;06:25:00;262.0;1.8;CARIACICA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-20.33295742;-40.35887718
260290.0;2020-01-02;quinta-feira;06:20:00;259.0;25.1;COLATINA;Falta de Atenção à Condução;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Curva;Não;1;0;1;0;0;0;1;1;-19.61785197;-40.48108118
260322.0;2020-01-02;quinta-feira;10:40:00;101.0;297;VIANA;Falta de Atenção à Condução;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Não;2;0;1;0;1;0;1;2;-20.34529844;-40.41026774
260478.0;2020-01-02;quinta-feira;22:30:00;101.0;435.4;MIMOSO DO SUL;Pista Escorregadia;Tombamento;Com Vítimas Fatais;Plena Noite;Crescente;Chuva;Simples;Curva;Não;2;1;1;0;0;0;1;1;-21.05500952;-41.19609059
260480.0;2020-01-02;quinta-feira;22:55:00;101.0;247;SERRA;Falta de Atenção à Condução;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Não;1;0;1;0;0;0;1;1;-20.06746339;-40.37085006
262561.0;2020-01-02;quinta-feira;11:15:00;259.0;10.5;JOAO NEIVA;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;Não;1;0;1;0;0;0;1;1;-19.66858288;-40.40294056
260679.0;2020-01-03;sexta-feira;19:20:00;482.0;106.5;GUACUI;Velocidade Incompatível;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Reta;Sim;2;0;1;0;1;0;1;2;-20.7749648;-41.67600002
260629.0;2020-01-03;sexta-feira;16:00:00;101.0;201;JOAO NEIVA;Pista Escorregadia;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Curva;Não;2;0;2;0;0;0;2;1;-19.73362414;-40.36120476
260610.0;2020-01-03;sexta-feira;14:50:00;101.0;225.3;IBIRACU;Falta de Atenção à Condução;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;4;0;3;0;1;0;3;1;-19.89290688;-40.41230369
260503.0;2020-01-03;sexta-feira;05:25:00;101.0;264.5;SERRA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Múltipla;Interseção de vias;Sim;3;0;1;1;1;0;2;2;-20.17889309;-40.26530538
