id;data_inversa;dia_semana;horario;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude
228815.0;2019-08-15;quinta-feira;04:25:00;101.0;258.0;SERRA;Falta de Atenção à Condução;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Desvio Temporário;Sim;3;0;1;1;1;0;2;2;-20.1306;-40.2961
228832.0;2019-08-15;quinta-feira;07:20:00;262.0;107.5;VENDA NOVA DO IMIGRANTE;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Amanhecer;Crescente;Sol;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-20.32992;-41.15344
228875.0;2019-08-15;quinta-feira;11:30:00;262.0;33.0;DOMINGOS MARTINS;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Não;2;0;1;0;1;0;1;1;-20.37535;-40.58433
228902.0;2019-08-15;quinta-feira;14:30:00;262.0;24.5;VIANA;Condutor Dormindo;Colisão com objeto estático;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Curva;Não;1;0;1;0;0;0;1;1;-20.379179999999998;-40.52625
228903.0;2019-08-15;quinta-feira;09:00:00;262.0;137.8;BREJETUBA;Ultrapassagem Indevida;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;Não;3;0;1;0;2;0;1;2;-20.23526;-41.34328
237800.0;2019-08-15;quinta-feira;08:00:00;101.0;268.9;SERRA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;2;-20.218120000000003;-40.27019
255819.0;2019-08-15;quinta-feira;08:50:00;101.0;188.8;ARACRUZ;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;3;0;1;0;2;0;1;2;-19.68086;-40.26944
228951.0;2019-08-15;quinta-feira;20:40:00;262.0;6.8;CARIACICA;Desobediência às normas de trânsito pelo pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Ignorado;Dupla;Reta;Sim;2;0;1;0;1;0;1;1;-20.34007;-40.39451
229013.0;2019-08-16;sexta-feira;07:30:00;262.0;0.1;VITORIA;Desobediência às normas de trânsito pelo condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Ponte;Sim;3;0;2;0;1;0;2;2;-20.32079;-40.353320000000004
229073.0;2019-08-16;sexta-feira;12:45:00;101.0;47.0;CONCEICAO DA BARRA;Agressão Externa;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1;0;1;0;0;0;1;1;-18.56004;-39.900209999999994
229091.0;2019-08-16;sexta-feira;14:45:00;101.0;159.0;LINHARES;Falta de Atenção à Condução;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Interseção de vias;Sim;2;0;1;0;1;0;1;2;-19.4684;-40.11026
229101.0;2019-08-16;sexta-feira;15:30:00;101.0;229.5;FUNDAO;Desobediência às normas de trânsito pelo condutor;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;3;0;2;0;1;0;2;2;-19.93155;-40.40553
